id,raw_id,name,lon,lat,x,y,adname
station:BV10039797,BV10039797,上海汽车城(地铁站),121.17623137974809,31.28732512736465,13489276.371563734,3670120.268090286,嘉定区
station:BV10033820,BV10033820,上海赛车场(地铁站),121.22165441128583,31.33386850048262,13494332.840304097,3676184.6534567145,嘉定区
station:BV10030508,BV10030508,丰庄(地铁站),121.35053860576627,31.24442545551704,13508680.163202964,3664533.2909574723,嘉定区
station:BV10039942,BV10039942,临洮路(地铁站),121.32630785331814,31.264966320438226,13505982.808179276,3667208.0840646517,嘉定区
station:BV10039941,BV10039941,乐秀路(地铁站),121.3095885040718,31.267301050962768,13504121.618735038,3667512.145160734,嘉定区
station:BV09358428,BV09358428,北和公路(地铁站),121.18508539658961,31.432122882172855,13490261.996209871,3688996.602706838,嘉定区
station:BV10039799,BV10039799,南翔(地铁站),121.31860351573096,31.298860057697336,13505125.16524229,3671622.936708098,嘉定区
station:BV09373930,BV09373930,叶城路(地铁站),121.2770540019589,31.37756152944471,13500499.894527122,3681880.382109959,嘉定区
station:BV10039960,BV10039960,嘉定北(地铁站),121.23290867718731,31.393507685768775,13495585.659453329,3683959.748161879,嘉定区
station:BV10039612,BV10039612,嘉定新城(地铁站),121.24985884598482,31.332043033846222,13497472.543612463,3675946.74715376,嘉定区
station:BV09373932,BV09373932,嘉定新城东(地铁站),121.29071196142937,31.350835953090765,13502020.291620437,3678396.179534368,嘉定区
station:BV10039961,BV10039961,嘉定西(地铁站),121.22340904636853,31.37906396771883,13494528.165388005,3682076.283797904,嘉定区
station:BV10039943,BV10039943,嘉怡路(地铁站),121.34111232825097,31.261076297473906,13507630.83479003,3666701.487854209,嘉定区
station:BV11550037,BV11550037,城北路(地铁站),121.23041232323821,31.39554883800521,13495307.766602913,3684225.938275805,嘉定区
station:BV10026750,BV10026750,安亭(地铁站),121.157435988454,31.290375738920673,13487184.078175904,3670517.656875815,嘉定区
station:BV10039944,BV10039944,定边路(地铁站),121.35777916650385,31.258247081898517,13509486.178737216,3666333.0533019607,嘉定区
station:BV09358429,BV09358429,宝钱公路(地铁站),121.19543943463175,31.417991777406453,13491414.602452215,3687153.141731421,嘉定区
station:BV10026179,BV10026179,封浜(地铁站),121.29252655405737,31.269454397883653,13502222.291147757,3667792.5906296684,嘉定区
station:BV11550033,BV11550033,新成路(地铁站),121.26148901786753,31.405693079898935,13498767.208424108,3685548.951878152,嘉定区
station:BV10039798,BV10039798,昌吉东路(地铁站),121.19590968312608,31.295572958912057,13491466.95027514,3671194.7038401803,嘉定区
station:BV09358430,BV09358430,汇旺路(地铁站),121.20628757919063,31.404988086064364,13492622.212380392,3685457.0018492937,嘉定区
station:BV10039962,BV10039962,白银路(地铁站),121.24091460180277,31.34733473738238,13496476.874904726,3677939.8008291605,嘉定区
station:BV10039945,BV10039945,真新新村(地铁站),121.36731733807076,31.257408774570106,13510547.963138996,3666223.886864677,嘉定区
station:BV10039811,BV10039811,金沙江西路(地铁站),121.33059601892877,31.243060812878287,13506460.164591424,3664355.6103521595,嘉定区
station:BV10039812,BV10039812,金运路(地铁站),121.31478399739447,31.242925094158092,13504699.978406055,3664337.9395040353,嘉定区
station:BV11277021,BV11277021,陈翔公路(地铁站),121.30228472108053,31.308418404485092,13503308.565331697,3672868.252874177,嘉定区
station:BV10031076,BV10031076,马陆(地铁站),121.2724538906038,31.321646420148824,13499987.812473552,3674591.8829769366,嘉定区
station:BV09159961,BV09159961,东方美谷大道(地铁站),121.47250789409334,30.950415484741306,13522257.722270062,3626311.3225573497,奉贤区
station:BV09305185,BV09305185,四团(地铁站),121.74055896863432,30.8914397993983,13552097.031390399,3618658.545225594,奉贤区
station:BV09305187,BV09305187,奉城(地铁站),121.63772185953891,30.927508282839035,13540649.256772842,3623338.2876731255,奉贤区
