name,admin_level,boundary,geometry
,7,administrative,"MULTILINESTRING ((121.450068 31.102814, 121.450443 31.10169), (121.450443 31.10169, 121.450996 31.099987), (121.450996 31.099987, 121.451796 31.097457), (121.451796 31.097457, 121.452467 31.095301), (121.452467 31.095301, 121.452502 31.09524), (121.452502 31.09524, 121.45322 31.092963), (121.45322 31.092963, 121.454276 31.089403), (121.454276 31.089403, 121.454748 31.087498), (121.454748 31.087498, 121.455141 31.085872), (121.455141 31.085872, 121.455119 31.08565), (121.455119 31.08565, 121.45567 31.083581), (121.45567 31.083581, 121.455265 31.083524), (121.455265 31.083524, 121.454771 31.082783), (121.454771 31.082783, 121.454389 31.08233), (121.454389 31.08233, 121.453265 31.082215), (121.453265 31.082215, 121.452411 31.082475), (121.452411 31.082475, 121.452231 31.082302), (121.452231 31.082302, 121.452018 31.081628), (121.452018 31.081628, 121.451636 31.081185), (121.451636 31.081185, 121.45086 31.081214), (121.45086 31.081214, 121.449872 31.081763), (121.449872 31.081763, 121.449299 31.081878), (121.449299 31.081878, 121.448714 31.082196), (121.448714 31.082196, 121.447782 31.081849), (121.447782 31.081849, 121.44695 31.081705), (121.44695 31.081705, 121.44677 31.081281), (121.44677 31.081281, 121.446186 31.080925), (121.446186 31.080925, 121.445737 31.080868), (121.445737 31.080868, 121.444759 31.081435), (121.444759 31.081435, 121.444647 31.081195), (121.444647 31.081195, 121.444815 31.079203), (121.444815 31.079203, 121.444961 31.078529), (121.444961 31.078529, 121.448523 31.078548), (121.448523 31.078548, 121.448905 31.077605), (121.448905 31.077605, 121.448568 31.077432), (121.448568 31.077432, 121.449088 31.075609), (121.449088 31.075609, 121.449141 31.075421), (121.449141 31.075421, 121.449703 31.074266), (121.449703 31.074266, 121.449422 31.074266), (121.449422 31.074266, 121.447636 31.0739), (121.447636 31.0739, 121.447411 31.073862), (121.447411 31.073862, 121.445433 31.073958), (121.445433 31.073958, 121.443164 31.074006), (121.443164 31.074006, 121.442613 31.075815), (121.442613 31.075815, 121.442433 31.075892), (121.442433 31.075892, 121.44059 31.075536), (121.44059 31.075536, 121.440534 31.075863), (121.440534 31.075863, 121.440354 31.075931), (121.440354 31.075931, 121.439995 31.075854), (121.439995 31.075854, 121.439793 31.076633), (121.439793 31.076633, 121.437905 31.076258), (121.437905 31.076258, 121.437635 31.076162), (121.437635 31.076162, 121.437557 31.075873), (121.437557 31.075873, 121.437793 31.075065), (121.437793 31.075065, 121.437253 31.074949), (121.437253 31.074949, 121.437287 31.074555), (121.437287 31.074555, 121.4375 31.07416), (121.4375 31.07416, 121.438152 31.073794), (121.438152 31.073794, 121.438107 31.073669), (121.438107 31.073669, 121.437928 31.073515), (121.437928 31.073515, 121.437512 31.073458), (121.437512 31.073458, 121.437399 31.073217), (121.437399 31.073217, 121.437478 31.072264), (121.437478 31.072264, 121.437467 31.071879), (121.437467 31.071879, 121.437118 31.07134), (121.437118 31.07134, 121.437163 31.070926), (121.437163 31.070926, 121.437357 31.070497), (121.437357 31.070497, 121.43746 31.069735), (121.43746 31.069735, 121.437615 31.069213), (121.437615 31.069213, 121.437535 31.069024), (121.437535 31.069024, 121.437543 31.068662), (121.437543 31.068662, 121.437588 31.068456), (121.437588 31.068456, 121.43691 31.068341), (121.43691 31.068341, 121.437206 31.067272), (121.437206 31.067272, 121.437223 31.067111), (121.437223 31.067111, 121.437073 31.067101), (121.437073 31.067101, 121.435781 31.067009), (121.435781 31.067009, 121.435085 31.066903), (121.435085 31.066903, 121.434995 31.067028), (121.434995 31.067028, 121.434242 31.066807), (121.434242 31.066807, 121.434141 31.067048), (121.434141 31.067048, 121.434087 31.067037), (121.434087 31.067037, 121.432669 31.06674), (121.432669 31.06674, 121.432633 31.066729), (121.432633 31.066729, 121.432093 31.066566), (121.432093 31.066566, 121.429954 31.065919), (121.429954 31.065919, 121.428259 31.069929), (121.428259 31.069929, 121.42553 31.069102))"
,7,administrative,"MULTILINESTRING ((121.431032 31.035917, 121.431268 31.035344), (121.431268 31.035344, 121.43151 31.0348), (121.43151 31.0348, 121.431899 31.034298), (121.431899 31.034298, 121.442717 31.011295), (121.442717 31.011295, 121.443751 31.009318))"
,7,administrative,"MULTILINESTRING ((121.426519 31.048633, 121.426052 31.048214), (121.426052 31.048214, 121.425567 31.048144), (121.425567 31.048144, 121.424726 31.048191), (121.424726 31.048191, 121.424803 31.047426), (121.424803 31.047426, 121.424478 31.04698), (121.424478 31.04698, 121.423469 31.046813), (121.423469 31.046813, 121.42316 31.046645), (121.42316 31.046645, 121.424218 31.04464), (121.424218 31.04464, 121.426169 31.040293), (121.426169 31.040293, 121.427632 31.040711), (121.427632 31.040711, 121.428802 31.038678), (121.428802 31.038678, 121.430025 31.037236), (121.430025 31.037236, 121.4305 31.03735), (121.4305 31.03735, 121.430933 31.036162), (121.430933 31.036162, 121.431032 31.035917))"
,8,administrative,"LINESTRING (121.55464 31.292873, 121.553871 31.29276)"
,8,administrative,"MULTILINESTRING ((121.259643 31.367149, 121.257264 31.366104), (121.257264 31.366104, 121.257157 31.366057), (121.257157 31.366057, 121.257245 31.365913), (121.257245 31.365913, 121.257439 31.3656), (121.257439 31.3656, 121.255533 31.364753), (121.255533 31.364753, 121.255636 31.364509), (121.255636 31.364509, 121.255392 31.364345), (121.255392 31.364345, 121.255242 31.364665), (121.255242 31.364665, 121.255092 31.364625), (121.255092 31.364625, 121.255196 31.364225), (121.255196 31.364225, 121.255009 31.363892), (121.255009 31.363892, 121.255084 31.36363), (121.255084 31.36363, 121.254451 31.36326), (121.254451 31.36326, 121.252193 31.362002), (121.252193 31.362002, 121.252355 31.361773), (121.252355 31.361773, 121.252068 31.361579), (121.252068 31.361579, 121.25207 31.36148), (121.25207 31.36148, 121.25223 31.361313), (121.25223 31.361313, 121.252621 31.361264), (121.252621 31.361264, 121.253537 31.360122), (121.253537 31.360122, 121.254018 31.359697), (121.254018 31.359697, 121.252502 31.358873), (121.252502 31.358873, 121.251086 31.358207), (121.251086 31.358207, 121.250925 31.357972), (121.250925 31.357972, 121.250514 31.357704), (121.250514 31.357704, 121.249621 31.357493), (121.249621 31.357493, 121.249559 31.357374), (121.249559 31.357374, 121.249507 31.357273), (121.249507 31.357273, 121.249568 31.357091), (121.249568 31.357091, 121.249975 31.357047), (121.249975 31.357047, 121.250366 31.356908), (121.250366 31.356908, 121.251048 31.356206), (121.251048 31.356206, 121.251949 31.355305), (121.251949 31.355305, 121.252058 31.355166), (121.252058 31.355166, 121.252625 31.355225), (121.252625 31.355225, 121.252717 31.355139), (121.252717 31.355139, 121.252773 31.354882), (121.252773 31.354882, 121.252501 31.354712), (121.252501 31.354712, 121.253638 31.353716), (121.253638 31.353716, 121.253718 31.35364), (121.253718 31.35364, 121.25572 31.351827), (121.25572 31.351827, 121.255941 31.351509), (121.255941 31.351509, 121.257426 31.349323), (121.257426 31.349323, 121.257864 31.348831), (121.257864 31.348831, 121.258589 31.347868), (121.258589 31.347868, 121.258688 31.347589), (121.258688 31.347589, 121.25904 31.346929), (121.25904 31.346929, 121.26008 31.345553), (121.26008 31.345553, 121.260096 31.345421), (121.260096 31.345421, 121.260081 31.345289), (121.260081 31.345289, 121.259843 31.345013), (121.259843 31.345013, 121.258969 31.344655), (121.258969 31.344655, 121.258591 31.344298), (121.258591 31.344298, 121.258267 31.343919), (121.258267 31.343919, 121.257728 31.343699), (121.257728 31.343699, 121.257538 31.343537), (121.257538 31.343537, 121.257509 31.343513), (121.257509 31.343513, 121.25701 31.343075), (121.25701 31.343075, 121.255818 31.342455), (121.255818 31.342455, 121.25494 31.341815), (121.25494 31.341815, 121.254849 31.341725), (121.254849 31.341725, 121.254597 31.341474), (121.254597 31.341474, 121.253631 31.340882), (121.253631 31.340882, 121.252583 31.339923), (121.252583 31.339923, 121.251083 31.339126), (121.251083 31.339126, 121.25107 31.339116), (121.25107 31.339116, 121.248787 31.33762), (121.248787 31.33762, 121.247306 31.336559), (121.247306 31.336559, 121.246823 31.336289))"
,10,administrative,"MULTILINESTRING ((121.347613 31.161578, 121.349633 31.158588), (121.349633 31.158588, 121.348451 31.158432))"
,7,administrative,"MULTILINESTRING ((121.42553 31.069102, 121.42528 31.069702), (121.42528 31.069702, 121.425062 31.070225), (121.425062 31.070225, 121.424808 31.070842), (121.424808 31.070842, 121.424584 31.071341), (121.424584 31.071341, 121.4245 31.07151), (121.4245 31.07151, 121.424358 31.071797), (121.424358 31.071797, 121.423521 31.073344), (121.423521 31.073344, 121.422064 31.072782), (121.422064 31.072782, 121.423774 31.069375), (121.423774 31.069375, 121.420599 31.06807), (121.420599 31.06807, 121.420546 31.068021), (121.420546 31.068021, 121.420829 31.066962), (121.420829 31.066962, 121.420854 31.066871), (121.420854 31.066871, 121.421774 31.063532), (121.421774 31.063532, 121.421071 31.063272), (121.421071 31.063272, 121.420963 31.063456), (121.420963 31.063456, 121.420577 31.063309), (121.420577 31.063309, 121.420942 31.062427), (121.420942 31.062427, 121.422037 31.062537), (121.422037 31.062537, 121.422241 31.061934), (121.422241 31.061934, 121.424054 31.057986), (121.424054 31.057986, 121.424188 31.057698), (121.424188 31.057698, 121.424988 31.055968), (121.424988 31.055968, 121.425079 31.05577), (121.425079 31.05577, 121.427004 31.051609), (121.427004 31.051609, 121.427668 31.050562), (121.427668 31.050562, 121.427964 31.050329), (121.427964 31.050329, 121.428378 31.049676), (121.428378 31.049676, 121.4273 31.049077), (121.4273 31.049077, 121.426519 31.048633))"
上海主张界,4,administrative,"MULTILINESTRING ((121.38148 31.83511, 121.370945 31.849128), (121.370945 31.849128, 121.305542 31.871435))"
黄浦区,6,administrative,"POLYGON ((121.453145 31.222027, 121.453652 31.220435, 121.454215 31.219195, 121.454628 31.218286, 121.455229 31.217042, 121.456183 31.215327, 121.45621 31.215244, 121.457049 31.21215, 121.457103 31.211321, 121.457358 31.208975, 121.457409 31.208441, 121.457595 31.206881, 121.45761 31.206644, 121.457642 31.2055, 121.457681 31.205155, 121.457728 31.204908, 121.458516 31.205077, 121.459792 31.205369, 121.460352 31.205549, 121.462084 31.20639, 121.46221 31.20643, 121.462246 31.206336, 121.462763 31.205309, 121.463315 31.20368, 121.463456 31.203093, 121.463484 31.202877, 121.463565 31.202355, 121.463766 31.201569, 121.464131 31.200495, 121.464442 31.199774, 121.46474 31.199078, 121.464951 31.198642, 121.465079 31.198294, 121.465247 31.197476, 121.465332 31.196595, 121.465385 31.195877, 121.465542 31.194827, 121.465815 31.193084, 121.466239 31.192914, 121.467236 31.192775, 121.468688 31.19255, 121.469647 31.192331, 121.470965 31.191731, 121.471158 31.19152, 121.471927 31.190191, 121.475189 31.191303, 121.478838 31.19206, 121.485378 31.193256, 121.487014 31.193712, 121.488395 31.194168, 121.491806 31.195889, 121.493913 31.197928, 121.495562 31.199746, 121.49649 31.200808, 121.500114 31.206306, 121.500953 31.207612, 121.501694 31.208767, 121.504171 31.212864, 121.505225 31.2148, 121.505241 31.21484, 121.505833 31.216259, 121.505958 31.217289, 121.505946 31.217502, 121.505933 31.217707, 121.505739 31.218839, 121.504905 31.221498, 121.504159 31.223043, 121.502804 31.22515, 121.502581 31.225475, 121.502221 31.225874, 121.500917 31.227295, 121.499832 31.228453, 121.497531 31.230694, 121.49565 31.232292, 121.493627 31.23386, 121.493041 31.234314, 121.49185 31.235134, 121.4901 31.236855, 121.489762 31.237391, 121.489348 31.238228, 121.489097 31.238887, 121.488921 31.239922, 121.488896 31.240436, 121.48899 31.241321, 121.489189 31.242135, 121.489626 31.243144, 121.490283 31.244107, 121.487419 31.244851, 121.48604 31.245289, 121.484634 31.245811, 121.484156 31.245975, 121.483706 31.246122, 121.483202 31.246235, 121.482749 31.246306, 121.4822 31.246274, 121.481633 31.246165, 121.48113 31.246008, 121.480636 31.245754, 121.480171 31.245486, 121.479772 31.245214, 121.479518 31.245011, 121.47847 31.243933, 121.478035 31.243414, 121.477654 31.243054, 121.47727 31.242735, 121.476949 31.242501, 121.476388 31.242185, 121.475516 31.242024, 121.475272 31.242024, 121.474894 31.242098, 121.474319 31.242267, 121.474189 31.242333, 121.472796 31.243055, 121.472272 31.24326, 121.472004 31.243339, 121.471182 31.243394, 121.470372 31.243367, 121.469253 31.243029, 121.468805 31.242733, 121.467689 31.242078, 121.466574 31.241465, 121.466255 31.241359, 121.466118 31.241321, 121.465615 31.24118, 121.465203 31.241157, 121.464746 31.241161, 121.464038 31.241348, 121.462178 31.242437, 121.461756 31.242643, 121.461546 31.242701, 121.461456 31.242726, 121.459954 31.243162, 121.459504 31.243235, 121.459061 31.243324, 121.458642 31.24331, 121.458368 31.243288, 121.459238 31.241328, 121.459718 31.240214, 121.459732 31.240181, 121.461068 31.237793, 121.46155 31.236871, 121.461663 31.23663, 121.461677 31.236584, 121.461738 31.236388, 121.461806 31.236122, 121.462017 31.235075, 121.462051 31.234914, 121.462343 31.233528, 121.462429 31.232825, 121.462437 31.232756, 121.462447 31.232676, 121.462596 31.230512, 121.462618 31.22976, 121.462629 31.229595, 121.462651 31.229451, 121.462661 31.229384, 121.462828 31.22879, 121.462922 31.228459, 121.463015 31.228205, 121.463125 31.228017, 121.463392 31.227612, 121.463026 31.22757, 121.462922 31.226068, 121.462904 31.225769, 121.462221 31.225677, 121.459968 31.225778, 121.459649 31.225789, 121.458957 31.225812, 121.458874 31.225815, 121.456052 31.225787, 121.455038 31.225778, 121.45373 31.225762, 121.452211 31.225768, 121.452241 31.225536, 121.452324 31.225136, 121.452312 31.224632, 121.452299 31.224054, 121.45236 31.223789, 121.452526 31.22338, 121.45269 31.223087, 121.452787 31.222932, 121.453145 31.222027))"
